"groupe de patient","recrutement","pays","nombre de sujets","sérums testés séparément","inhibitions chiffrées","date","pas de RC testée etc","remarques"
"7151-1","5 allergiques aux phanères de cheval","Espagne","5",-1,-1,17-juil.-07,,
"7160-1","Réactions allergiques répétées avec les graines de tournesol","Corée","1",-1,-1,02-janv.-08,,
"7170-1",,,,-1,-1,12-août-07,-1,"Manquent détails dans l'article"
"719-1","Sujets allergiques au latex et au sarrasin","France","2",-1,-1,25-juil.-07,,
"720-1",,,,-1,-1,09-sept.-09,-1,"Manquent détails"
"721-1",,,,-1,-1,04-mars-09,-1,"manquent détails dans le résumé"
"7217-1","Allergiques à la carotte","Allemagne / Suisse","24",-1,-1,01-déc.-09,,
"7222-1","Sujets allergiques à l'orange (majoritairement des enfants)","Espagne","3",-1,-1,03-août-07,,
"7223-1","Sujets TC positifs pour le pois et le haricot","Italie","10",-1,-1,31-oct.-07,,
"7224-1","Pollinose vis à vis du pollen d'oranger","Argentine","4",0,-1,03-août-07,,
"7229-1","Un adulte atopique multi-opéré avec TC natifs positifs pour plusieurs fruits","Italie","1",-1,0,25-juil.-07,,
"727-1",,,,-1,-1,06-janv.-08,-1,"Pas de RC testée ou méthodologie non conforme"
"728-1","Sujets allergiques aux ormeaux et RAST+ escargot","Afrique du Sud","2",-1,-1,17-juil.-07,,
"7283-1","Allergiques aux œufs de samon","Japon","3",-1,-1,17-juil.-07,,
"7299-1","Sujets allergiques à des fruits à coque et pour certains à l'arachide (7/12)","USA","5",0,-1,23-oct.-07,,
"73-1","Sujets TC positifs olivier mais hors du contact de l'olvier","USA","11",0,-1,04-oct.-07,,
"7303-1","Sujets ""sensibilisés"" à la jujube et au latex","Taiwan","3",-1,-1,25-juil.-07,,
"7308-1","Patients avec allergie respiratoire et TC positifs châtaigne","Corée","9",0,-1,25-juil.-07,,
"7321-1","Sujets CAP arachide positifs sans allergie à l'arachide","Japon","4",-1,-1,30-oct.-07,,
"7340-1","Patients allergiques au soja et aux pousses de soja","Allemagne / Suisse","6",-1,0,01-déc.-09,,
"7341-1","Patients adultes polliniques et allergiques à l'arachide","Australie","2",-1,-1,23-oct.-07,,
"7386-1",,,,-1,-1,01-juin-09,-1,"RC AMP -> 50kD maïs : très forte suspicion d'arte-fact (CCD)"
"7389-1","Adultes polliniques au bouleau et allergiques au soja, à larachide et à la cerise","Allemagne / Suisse","5",-1,-1,01-déc.-09,,
"7400-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"7401-1","Urticaire au contact des crevettes d'aquarium et allergie aux acariens","Espagne","1",-1,-1,17-juil.-07,,
"7421-1","Adultes présentant une allergie respiratoire aux poussières de riz cru","Espagne","3",-1,-1,24-oct.-09,,
"744-1","Patients allergiques à la pastèque et à l'ambroisie","USA","5",0,-1,04-août-07,,
"744-2","Patients allergiques à la pastèque et à l'ambroisie","USA","24",0,-1,04-août-07,,
"7448-1","Patients allergiques à l'orange (surtout enfants)","Espagne","3",-1,-1,03-août-07,,
"745-1","Un adulte montrant des réactions anaphylactiques (banane, puis avocat, puis latex)","France","1",-1,-1,25-juil.-07,,
"7450-1","Patients asthmatiques","Taiwan","2",-1,0,29-oct.-07,,
"746-1","1 patiente ayant fait une réaction clinique au lait de jument avec TC+ et IgE+ aux pollens graminées, poils animaux et acariens","Autriche","1",-1,0,17-juil.-07,,
"7460-1",,,,-1,-1,31-oct.-07,-1,"Manquent détails dans l'article"
"7470-1","1 patient allergique aux viandes","Espagne","1",-1,0,17-juil.-07,,
"748-1","Sujets avec allergie au pollen de papayer","Espagne","6",0,-1,25-juil.-07,,
"7480-1","Sujets allergiques aux acariens et aux pouce-pieds","Portugal","3",-1,0,17-juil.-07,,
"7489-1","Polliniques à l'ambroisie","Italie","14",-1,0,20-oct.-07,,
"749-1",,,,-1,-1,16-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7495-1","Un enfant avec une réaction anaphylactique après ingestion d'un gland de chêne, puis de châtaigne","Espagne","1",-1,-1,25-juil.-07,,
"75-1","Sujets allergiques au latex","USA","9",-1,-1,12-nov.-09,,
"750-1","Allergiques aux acariens","Cuba","?",0,-1,17-juil.-07,,
"7511-1","Sujets ""sensibilisés"" à Aspergillus fumigatus","Autriche","?",0,-1,29-oct.-07,,
"752-1","Patients allergiques au bouleau et au kiwi","Allemagne","2",-1,-1,25-juil.-07,,
"752-2","Patients allergiques au bouleau et au kiwi","Allemagne","7",-1,0,25-juil.-07,,
"7521-1","Patients allergiques au haricot mungo","Inde","14",0,-1,31-oct.-07,,
"7522-1","Enfants avec dermatite atopique et TC natif positif pour la graine de navette","Finlande / France","2",-1,-1,01-déc.-09,,
"7523-1","Patients ayant un TPODA positif pour le blé ou le maïs","Italie","2",-1,-1,15-juin-08,,
"7525-1","Asthme/rhinoconjonctivite professionnlle au porc avec TC+ chat et chien","France","1",-1,0,17-juil.-07,,
"7539-1","Sujets allergiques au poisson","Norvège","9",-1,-1,17-juil.-07,,
"754-1","Patients polliniques avec allergie au poivron (et au parika)","Autriche","10",0,0,19-nov.-09,,
"755-1",,,,-1,-1,27-févr.-09,-1,"Utilisation d'un Ab"
"756-1","Patient allergique aux Cupressacées","Italie","1",-1,0,03-oct.-07,,
"7585-1","Sujets polliniques et sensibilisés à l'orange","Espagne","2",-1,-1,03-août-07,,
"759-1",,,,-1,-1,29-oct.-07,-1,"Manquent détails (résumé possésé seulement)"
"761-1","Allergiques aux acariens et sensibilisés à Tyrophagus","Corée","?",0,-1,17-juil.-07,,
"762-1","Banque sérums: sujets positifs pour la crevette","USA","?",0,-1,17-juil.-07,,
"765-1","Asthmatiques TC positifs pour Candida albicans et RAST+ pour les mannanes","Japon","4",0,-1,29-oct.-07,,
"7664-1","Un cas d'anaphylaxie à la grenade chez un sujet polypollinique","Espagne","1",-1,0,02-août-07,,
"767-1","Patients allergiques au latex et à l'avocat et/ou banane et/ou kiwi","Allemagne","5",0,0,25-juil.-07,,
"767-2","Patients allergiques au latex et à l'avocat et/ou banane et/ou kiwi","Allemagne","5",0,-1,17-déc.-07,,
"7685-1",,,,-1,-1,21-oct.-07,-1,"Données inexploitables"
"770-1","Sujets avec suspicion d'allergie aux larves d'anisakis","Espagne","?",-1,-1,06-janv.-08,,
"7717-1","Patients allergiques à l'olivier","Espagne","?",0,-1,16-nov.-07,,
"7743-1","Sujets ""sensibilisés"" aux acariens et IgE+ pour Blomia et D. farinae","Singapour","3",-1,-1,17-juil.-07,,
"775-1","Syndrome armoise-bouleau-céleri-épices","Autriche","1 ?",-1,0,04-août-07,,
"7762-1","Sujets avec histoire d'allergie à la pêche et à la noisette","Espagne","3",-1,-1,03-août-07,,
"777-1","Allergiques au pollen d'olivier","Espagne","11",0,0,03-oct.-07,,
"777-2","Patients allergiques au pollen de ricin","Espagne","6",0,0,03-oct.-07,,
"777-3","Patients allergiques au latex","Espagne","6",0,0,03-oct.-07,,
"7776-1",,,,-1,-1,23-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"778-1",,,,-1,-1,12-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7780-1",,,,-1,-1,23-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7786-1",,,,-1,-1,31-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"7797-1","oedème de Quincke après ingestion de groseille et cassis","Espagne","1",-1,0,16-oct.-09,,
"7799-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"7802-1","Allergie aux champignons","Espagne","1",-1,0,08-janv.-08,,
"7806-1","Un cas d'anaphylaxie à l'artichaut","Espagne","1",-1,-1,03-août-07,,
"7808-1","Patients allergiques au kiwi et/ou ""sensibilisés"" aux acariens","Autriche","10",-1,-1,17-juil.-07,,
"7814-1","Patient allergique à l'espadon et au thon","Japon","1",-1,-1,17-juil.-07,,
"7816-1",,,,-1,-1,27-févr.-09,-1,
"7841-1","Sujets ""sensibilisés"" à Aspergillus fumigatus","Suisse","?",0,-1,29-oct.-07,,
"7842-1","Enfant allergique aux acariens et TC+ Anisakis","Italie","1",-1,-1,17-juil.-07,,
"7848-1",,,,-1,-1,29-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"785-1","Patients polliniques à l'armoise","Autriche","5",0,-1,24-nov.-07,,
"7861-1","Sujets TC positifs pour Cladosporium et Alternaria","Finlande","9",-1,-1,29-oct.-07,,
"7868-1","Patients allergiques à l'arachide","Australie","3",-1,-1,24-oct.-07,,
"788-1","Sujets RAST positifs pour Cabdida albicans","Japon","28",0,0,29-oct.-07,,
"789-1",,,,-1,-1,30-août-07,-1,"Données inexploitables"
"790-1","Pollinique au bouleau avec allergie aux épices","Autriche","1",-1,0,06-janv.-08,,
"790-2","Sujet pollinique au bouleau et à l'armoise et allergique aux épices","Autriche","1",-1,0,06-janv.-08,,
"7902-1","Allergie à divers crustacés et mollusques","Japon","1",-1,0,17-juil.-07,,
"7908-1","Sujets polliniques aux graminées","Brésil","10",-1,-1,30-août-07,,
"791-1","Une adulte pollinique avec allergie au kiwi et à la figue (mais pas au latex)","Espagne","1",-1,-1,25-juil.-07,,
"7910-1","Patiente ayant présentie une réaction anaphylactique avec les graines de pavot","Allemagne","1",-1,-1,22-août-07,,
"7922-1","Sujets IgE+ nDer p 8 et Periplaneta americana","Singapour / Taiwan","6",-1,-1,01-déc.-09,,
"7927-1","Polliniques avec TC positifs pour ambroisie et armoise","Italie","5",-1,0,20-oct.-07,,
"7928-1","Sujets positifs pour les LTP de pêche et de pomme (mais non allergiques à la fraise)","Espagne / Italie","12",-1,-1,03-août-07,,
"7972-1",,,,-1,-1,04-mars-09,-1,"Utilisation d'un mAb"
"7974-1","Allergie professionnelle à la vache et à la chèvre","Espagne","3",-1,-1,21-oct.-07,,
"7979-1","Sujet TC positif pour différentes moisissures, pour l'agaric et pour l'épinard","Espagne","1",-1,0,29-oct.-07,,
"798-1","Sujets ""sensibilisés"" à Aspergillus fumigatus","Suisse","3",0,-1,29-oct.-07,,
"799-1","Sujets polliniques au bouleau et allergiques à la cerise","Allemagne","4",0,0,04-août-07,,
"800-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée"
"8005-1","Patients CAP positifs pour l'orange","Espagne","5",0,-1,03-août-07,,
"8009-1","Adultes avec allergie au chou","Espagne","12",0,-1,03-août-07,,
"8020-1","Patients avec allergie respiratoire professionnelle au soja","Espagne","12",0,-1,31-oct.-07,,
"8023-1","Banque de sérums (Phadia): le sérum avait >100 kU/l pour le CAP MUXF3","?","1",-1,-1,17-juil.-07,,
"8032-1","Enfants allergiques aux hyménoptères","Grêce","12",-1,-1,17-juil.-07,,
"8034-1","Sujets allergiques au kiwi","Autriche","3",-1,-1,25-juil.-07,,
"8037-1",,,,-1,-1,18-sept.-09,-1,"Pas de RC testée"
"8039-1","Sujets CAP positifs fléole et farine de blé (sérothèque) et avec inhibition du blé par la fléole","?","12",-1,-1,12-août-07,,
"804-1",,,,-1,-1,03-oct.-07,-1,"Manquent détails dans l'article"
"8041-1","Adulte avec allergie à l'arachide et au soja","Suisse","1",-1,-1,01-oct.-09,,
"8046-1",,,,-1,-1,24-janv.-09,-1,"Pas de RC testée ou méthodologie non conforme"
"805-1","Sujets RAST positifs pour armoise et noisette","Espagne","28",0,-1,12-août-07,,
"8062-1",,,,-1,-1,31-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"8064-1","1 enfant avec allergie aux laits de brebis et de chèvre, sans allergie au lait de vache","Espagne","1",-1,-1,17-juil.-07,,
"8065-1","Un cas d'allergie à l'œuf de caille dans le cadre d'un syndrome œuf-oiseaux","Espagne","1",-1,-1,17-juil.-07,,
"8067-1","Enfants avec allerie au pois chiche","Espagne","16",0,-1,24-mars-08,,
"807-1","Allergie à la mangue","Allemagne","1",-1,0,13-nov.-09,,
"8077-1","Anaphylaxie à la myrtille","Autriche","1",-1,0,03-août-07,,
"808-1","Sujet atopique et TC positif pour Candida","Finlande","1",-1,0,29-oct.-07,,
"8086-1","Polliniques à l'olivier","Espagne","5",0,-1,15-nov.-07,,
"809-1","Allergiques au pollen d'olivier","Espagne","5",0,0,03-oct.-07,,
"8091-1","Sujets positifs pour rBet v 2","Autriche","13",-1,-1,13-janv.-08,,
"8094-1","Allergie à l'écureuil","Espagne","1",-1,-1,21-oct.-07,,
"8095-1","Patients ayant un test de provocation nasle positif pour olivier et dactyle","Espagne","12",0,-1,30-août-07,,
"810-1","Sujets allergiques au latex puis au sarrasin","Pays-Bas","2",-1,-1,01-déc.-09,,
"8108-1","1 enfant de 7 mois avec allergie à la viande de bœuf sans allergie au lait de vache","Espagne","1",-1,0,17-juil.-07,,
"8115-1","OAS jujube chez une femme TC positive latex mais non allergique latex","Espagne","1",-1,0,28-juil.-07,,
"813-1",,,,-1,-1,14-août-09,-1,"Utilisation de mAb"
"814-1","Allergie professionnelle à la pectine (de peau d'agrumes)","Finlande","1",-1,0,30-oct.-07,,
"815-1","Patients polliniques aux graminées","Pays-Bas","2",-1,-1,30-août-07,,
"815-2","Patients polliniques aux graminées","USA","2",-1,-1,30-août-07,,
"818-1","Patients ""sensibilisés"" au cyprès","Italie","6",0,0,03-oct.-07,,
"8183-1","Sujets Espagnols allergiques à l'olivier et Autrichiens allergiques au frêne","Autriche / Espagne","2+2",-1,0,01-déc.-09,,
"8183-2","Sujets Espagnols allergiques à l'olivier et Autrichiens allergiques au frêne","Autriche / Espagne","8+8",-1,-1,01-déc.-09,,
"820-1",,,,-1,-1,01-janv.-08,-1,"Pas de RC testée ou méthodologie non conforme"
"8202-1","Patients allergiques à l'arachide","USA","2",-1,-1,23-janv.-08,,
"8202-2","Patients allergiques à la noix du Brésil","USA","2",-1,-1,23-janv.-08,,
"8202-3","Patient allergique aux fruits à coque","USA","1",-1,-1,23-janv.-08,,
"8205-1","Sujets exposés professionnellement à la papaïne","Allemagne","2",-1,-1,17-juil.-07,,
"8205-2","Sujets exposés professionnellement à la broméline et à la papaïne","Allemagne","1",-1,-1,17-juil.-07,,
"8205-3","Sujets polliniques, non exposés professionnellement à la broméline et à la papaïne","Allemagne","2",-1,-1,30-juin-09,-1,"beaucoup de ?? Comme les RC pollens, farines -> papaine ou la RC papaine -> broméline"
"8207-1","Professionnels avec asthme du boulanger","Australie","3",-1,-1,13-juin-08,,
"8209-1","Polliniques au bouleau avec allergie à la pomme","Finlande","3",-1,-1,12-août-07,,
"821-1","Sujets allergiques au latex (spina bifida et professionnels de santé) et positifs pour l'hévéine","Allemagne","42",-1,-1,26-juil.-07,,
"8211-1","Patients avec réaction systémique après piqûre par un Vespide","USA","28",-1,-1,18-nov.-09,,
"8212-1","Sélection des sujets = ?","USA","12",0,-1,29-oct.-07,,
"8213-1","Patients avec réaction systémique (ou loco-régionale) à un piqûre de guêpe Polistes","USA","16",-1,-1,17-juil.-07,,
"8214-1","Patients allergiques au venin de Vespula","USA","7",-1,-1,17-juil.-07,,
"8215-1","Polliniques à l'acacia","Australie","?",0,-1,30-août-07,,
"8216-1",,,,-1,-1,13-nov.-09,-1,"Pas de RC testée avec méthode d'inhibition"
"8217-1","Patients avec réaction systémique après piqûre par une guêpe (Vespula ou Dolichovespula)","USA","2",-1,-1,17-juil.-07,,
"8221-1","Patients avec asthme professionnel à la farine","Canada","4",-1,-1,29-juin-08,,
"8224-1","Allergie professionnelle au pollen de tournesol","France","1",-1,-1,20-oct.-07,,
"8227-1",,,,-1,-1,18-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"823-1","1 patiente ayant des réactions cliniques avec les intestins ou les rognons de porc, mais tolérant la viande de porc","Espagne","1",-1,0,17-juil.-07,,
"8234-1","Sujets ayant un asthme professionnel du à la poussière de bois d'abachi","Espagne","4",-1,-1,13-janv.-08,,
"8237-1","Asthme professionnel au soja","USA","1",-1,0,30-oct.-07,,
"8238-1","Patients TC positifs pour les phanères de différents mammifères","Suisse","5",-1,-1,21-oct.-07,,
"8239-1","Allergie respiratoire et alimentaire aux lentilles et pois chiches","Espagne","1",-1,-1,24-mars-08,,
"824-1","patient allergique à la viande de poulet et de dinde","Autriche","1",-1,0,17-juil.-07,,
"8241-1","Boulangers","Suède","8",0,-1,17-juil.-07,,
"8246-1",,,,-1,-1,20-oct.-07,-1,"Ab"
"8248-1",,,,-1,-1,18-nov.-07,-1,"Manquent détails (résumé possésé seulement)"
"825-1","Patiente allergique à la laitue","Espagne","1",-1,-1,04-août-07,,
"8254-1",,,,-1,-1,15-mars-09,-1,"une RC est dite par les auteurs mais pas montrée dans l'article"
"8257-1","Sujets IgE+ pour Euroglyphus","USA","?",0,-1,01-déc.-09,,
"826-1","Allergiques au pollen de palmier","Inde","70 ?",0,-1,03-oct.-07,,
"8261-1","Patients non sensibilisés au latex et présentant une allergie à la figue","Autriche","10",-1,-1,25-juil.-07,,
"827-1","patiente allergique aux pollens, chat, œuf et viande de poulet crue","Espagne","1",-1,-1,25-févr.-09,,"L'inhibition lysozyme -> ovomucoïde n'a pas été gardée car contamination très probable de l'ovomucoïde Sigma par du lysozyme"
"827-2","patiente allergique aux pollens de graminées et à l'œuf cru","Espagne","1",-1,-1,17-juil.-07,,
"828-1","Réaction anaphylactique à l'ingestion d'un gland de chêne","Espagne","1",-1,0,06-janv.-08,,
"830-1","Sujets polliniques","Espagne","?",0,-1,01-déc.-09,,
"831-1","Sujets allergiques aux escargots et ""sensibilisés"" aux acariens","France","2",-1,0,17-juil.-07,,
"831-2","Sujet allergique aux escargots et ""sensibilisé"" aux acariens","France","1",-1,-1,17-juil.-07,,
"8313-1","Sujets polliniques aux graminées","Allemagne","3",0,-1,30-août-07,,
"832-1",,,,-1,-1,27-févr.-09,-1,
"8325-1","sujets allergiques aux crustacés","Japon","10",0,0,17-juil.-07,,
"833-1","Patients asthmatiques et TC positifs pour Fusarium","Inde","?",0,0,29-oct.-07,,
"8330-1","Enfants avec histoire clinique d'allergie immédiate à la farine de céréales","USA","7",-1,-1,27-juin-08,,
"8332-1","Asthme/rhinoconjonctivite avec RAST positif Chortoglyphus et D ptero","Espagne","15",0,-1,17-juil.-07,,
"834-1","Sujets allergiques à l'archide et CAP+ farine de blé et maïs","USA","6?",0,0,12-août-07,,
"8346-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"835-1","Patients allergiques aux fruits des rosacées, sans pollinose","Espagne","6",0,-1,06-janv.-08,,
"8351-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"8353-1","Sujets avec allergie au lait de chèvre/brebis sans allergie au lait de vache","France","?",-1,-1,17-juil.-07,,
"8363-1",,,,-1,-1,03-août-07,-1,"Données inexploitables"
"837-1","Asthme professionnel à l'ail","Espagne","7",0,0,04-août-07,,
"8391-1",,,,-1,-1,02-nov.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"8417-1","Patients allergiques à l'amande","USA","3",-1,0,01-janv.-08,,
"8420-1","Allergiques à la noix, avec histoire clinique positive pour noisette et noix de cajou","USA","3",-1,0,01-janv.-08,,
"8430-1","Patients polliniques à Cupressus sempervirens","France","23",-1,-1,13-nov.-07,,"Nb de sujets RC+ déduit de la Fig 6"
"8431-1",,,,-1,-1,15-mars-09,-1,"les tests de RC ont utilisé comme inhibiteurs des produits alimentaires et non des produits allergisants définis"
"844-1","Infirmière allergique au latex","Allemagne","1",-1,-1,02-déc.-08,,
"8463-1","Patients polliniques aux graminées","Allemagne","5",0,0,30-août-07,,
"8468-1","Sujest RAST positifs pour la polygalacturonase du lis","Autriche / Taiwan","5",0,-1,01-déc.-09,,
"8525-1","Sujets positifs pour Cladosporium et Alternaria","Autriche / Italie","3",-1,-1,01-déc.-09,,
"8529-1","Sujets allergiques au venin de Vespula et porteurs d'IgE anti-CCD (broméline et HRP positives)","Autriche","2",-1,-1,17-juil.-07,,
"8529-2","Sujet allergique au venin d'abeille et porteur d'IgE anti-CCD (broméline et HRP positives)","Autriche","1",-1,-1,17-juil.-07,,
"8539-1","Asthme professionnel","Espagne","1",-1,-1,21-oct.-07,,
"8554-1","Eczéma atopique avec réactivité pour Malassezia","Suisse","?",0,-1,29-oct.-07,,
"8558-1","Allergie au chien","Japon","1",-1,-1,21-oct.-07,,
"8561-1","Polliniques à la pariétaire","Italie","8",-1,-1,28-sept.-09,,
"858-1",,,,-1,-1,13-juin-08,-1,"Pas de RC testée ou méthodologie non conforme"
"859-1","Sujets allergiques à l'avocat et TC positif latex et/ou banane et/ou châtaigne","Espagne","14",0,-1,26-juil.-07,,
"8590-1","Polliniques au platane","Espagne","7",0,0,03-août-07,,
"8596-1","Allergie au chat","Autriche","36",-1,-1,21-oct.-07,,
"860-1","Patients allergiques à la crevette","Pays-Bas","3",-1,-1,23-févr.-09,,
"8604-1","1 patient avec allergie au chat puis allergie au porc","Italie","1",-1,-1,17-juil.-07,,
"8608-1","Sujets allergiques aux crustacés","Japon","10",0,0,17-juil.-07,,
"862-1","Enfants avec allergie aux poissons et TC+ roussette","Italie","2",-1,-1,17-juil.-07,,
"862-2","Enfants avec allergie aux poissons et TC+ aux poissons testés","Italie","7 à 17",0,-1,17-juil.-07,,
"8620-1","Sujets allergiques au latex et positifs pour nHev b 13","?","8",-1,-1,04-nov.-07,,
"8636-1","Sujets polliniques à Senecio jacobea","Espagne","?",0,-1,20-oct.-07,,
"8641-1","Allergiques à la tomate et pollinique genévrier","USA","7",0,-1,03-août-07,,
"8642-1","Réactions allergiques à l'ingestion de graines de tournesol","USA","1",-1,0,02-oct.-09,,
"8642-2","Allergie à l'arachide","USA","1",-1,0,02-oct.-09,,
"866-1",,,,-1,-1,25-nov.-09,-1," et comment des extraits RAST-négatifs peuvent agir sur le RAST patelle ?"
"8668-1","Sujets avec TC natif positif pour la tomate et les feuilles de cannabis","Espagne","8 ?",0,-1,03-août-07,,
"8669-1",,,,-1,-1,30-oct.-07,-1,"Données inexploitables"
"867-1","Allergie aux poissons et TC+ aux poissons testés","Autriche","4",-1,0,17-juil.-07,,
"8676-1","Polliniques TC positifs pour diverses Astéracées","Corée","6",0,-1,21-nov.-07,,
"868-1","Sujets sensibilisés au latex et à la figue","Allemagne","6",-1,-1,26-juil.-07,,
"8685-1","Patient pollinique présentant un syndrome oral avec l'oignon","Espagne","1",-1,0,03-déc.-07,,
"869-1","Sujets RAST+ aux acariens testés","Pays-Bas","5",-1,-1,17-juil.-07,,
"869-2","Sujets RAST+ aux acariens testés","Pays-Bas","5",0,-1,17-juil.-07,,
"87-1","sujets allergiques au bouleau (avec Bet v1 +) et à la pomme avec TC+","Autriche","32",0,0,17-juil.-07,,
"871-1","Patients asthmatiques positifs pour Blomia et/ou D. pteronyssinus","Colombie","5",0,-1,13-nov.-09,,
"8714-1","Allergie alimentaire au riz dans le cadre d'un syndrome LTP","Italie","2",-1,-1,14-juin-08,,
"8715-1","Allergiques au raisin (2/3 d'enfants)","Grêce","?",0,-1,03-août-07,,
"8715-2","Allergiques au raisin (2/3 d'enfants)","Grêce","?",-1,0,03-août-07,,
"8727-1",,,,-1,-1,03-août-07,-1,"Manquent détails dans l'article"
"8730-1","Allergiques au chat","Suède","9",-1,-1,21-oct.-07,,
"8749-1","Anaphylaxie provoquée par l'usage d'un savon parfumé aux agrumes","Australie","1",-1,0,03-août-07,,
"875-1",,,,-1,-1,28-févr.-09,-1,
"8751-1",,,,-1,-1,23-févr.-09,-1,"utilisation d'un Ab anti-Bla g 1 et anti-Periplaneta"
"8765-1","Asthme professionnel du à Penicillium camemberti","Allemagne","1",-1,-1,13-nov.-09,,
"877-1","Un patient allergique au latex puis à la châtaigne et au poivron","Italie","1",-1,0,26-juil.-07,,
"8783-1","Allergie à la courgette et au navet chez un adulte allergique au latex (exposé) et à des ""fruits latex""","Portugal","1",-1,-1,25-juil.-07,,
"8793-1","Allergie au guépard","France","1",-1,-1,21-oct.-07,,
"8796-1","Enfants allergiques à l'arachide présentant une réactivité clinique pour le fenugrec","France","2",-1,-1,24-mars-08,,
"8796-2","Enfant allergique à l'arachide présentant une réactivité cutanée (sans allergie) pour le fenugrec","France","1",-1,-1,24-mars-08,,
"8797-1",,,,-1,-1,24-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"8798-1","Enfant allergique au lait de soja et pollinique au bouleau","France","1",-1,-1,17-mars-08,,
"8799-1",,,,-1,-1,24-oct.-07,-1,"Pas de RC testée ou méthodologie non conforme"
"88-1","Polliniques au bouleau","Autriche","11",0,0,04-oct.-07,,
"8815-1","Allergiques aux Vespides avec TC positif pour Vespula et Polistes dominulus","Italie","45",-1,-1,17-juil.-07,,
"883-1","Patients allergiques au latex","Finlande","5",-1,0,13-nov.-09,,
"884-1","Sujets allergiques au latex et présentant une bande 33kD avec la banane","Finlande","5",-1,0,26-juil.-07,,
"8842-1","Sujet allergique au pouce-pied et à la crevette","Espagne","1",-1,-1,17-juil.-07,,
"8844-1",,,,-1,-1,27-févr.-09,-1,
"8845-1","Enfants avec allergie au lait de vache","Finlande","17",-1,-1,17-juil.-07,,
"8847-1","sujets TC positifs pariétaire et carde","Italie","2",-1,-1,03-août-07,,
"8854-1","Patients allergiques aux acariens et à la crevette","Martinique","5",-1,-1,27-févr.-09,,
"8863-1","Allergie professionnelle à l'œuf","USA","1",-1,-1,17-juil.-07,,
"8867-1","Patients allergiques au sésame et IgE+ pour rJug r 4","USA","2",-1,0,24-oct.-07,,
"887-1","Allergiques aux ""pollens d'arbres""","Autriche","102",-1,-1,03-oct.-07,,
"8881-1","Sujets ""sensibilisés"" à la soude mais TC négatifs pour le chénopode","Espagne","11",0,0,20-oct.-07,,
"8882-1","Patients allergiques aux crevettes","USA","?",0,-1,28-déc.-08,,
"8899-1",,,,-1,-1,24-mars-08,-1,"Manquent détails (résumé possésé seulement)"
"8909-1","Patients allergiques à la guêpe","Autriche","46",-1,0,01-mars-09,,
"8945-1","Professionnel exposé aux poussières de bois","Allemagne","1",-1,-1,13-janv.-08,,
"8946-1","Allergie professionnelle à la racine de chicorée","Belgique","1",-1,0,05-août-07,,
"8953-1","Patients asthmatiques","Colombie","?",0,-1,28-févr.-09,,
"8957-1","Patient allergique à l'escargot (sans allergie aux acariens)","Portugal","1",-1,-1,11-févr.-09,,
"8959-1","Un cas d'anaphylaxie à la grenade","Espagne","1",-1,0,28-juil.-07,,
"8960-1",,,,-1,-1,28-sept.-09,-1,"Pas de RC tentée"
"8962-1",,,,-1,-1,03-août-07,-1,"Pas de RC testée ou méthodologie non conforme"
"8964-1","Un cas d'allergie à la chérimole chez une femme allergique au latex","Espagne","1",-1,0,28-juil.-07,,
"8971-1","Enfant de 9 ans avec allergie au fromage de chèvre","Espagne","1",-1,0,17-juil.-09,,
"8976-1","Anaphylaxie à une solution de camomille","Espagne","1",-1,-1,21-nov.-07,,
"8980-1","Adultes allergiques à la moutarde","Espagne","?",0,0,24-oct.-07,,
"8991-1",,,,-1,-1,19-févr.-09,-1,"Utilisation d'un anticorps animal pour tester la RC entre gade c 1 et Cyp c 1"
"8998-1",,,,-1,-1,28-sept.-09,-1,"Pas de RC tentée"
"90-1",,,,-1,-1,16-mars-09,-1,"Il a été fait des tests en CIE mais pas avec méthode moderne"
"9001-1","Patiente allergique aux epithelia de cheval et présentant une réaction à la première ingestion de lait de jument","Espagne","1",-1,-1,19-juil.-09,,
"9001-2","Sujets allergiques aux epithelia de cheval","Espagne","5",-1,-1,19-juil.-09,,
"9002-1","Réaction anaphylactique à la noix de coco chez un enfant allergique à la noix","Espagne","1",-1,-1,23-janv.-08,,
"9009-1","Patiente présentant une anaphylaxie à l'ingestion de mandarine","Belgique","1",-1,-1,05-août-07,,
"9032-1","Allergie au fromage de chèvre sans allergie au lait de vache et à ses dérivés","Portugal","1",-1,0,17-juil.-09,,
